avg_p_gmu,avg_p_std,rel_improvement,acc_gmu,acc_std,time_gmu,time_std,converged,final_objective,w_norm_gmu,b_gmu,category,experiment,d,n,sep,K,lambda,lr,epochs
0.016205,0.0007083333333333333,-2187.764705882353,1.0,1.0,0.33441710472106934,0.0,True,0.04202386535562466,1.0051418719968663,-0.08946046615846116,hyperparam,lambda=0.01,2,30,,,0.01,,
0.016538333333333332,0.0007083333333333333,-2234.823529411765,1.0,1.0,0.34293317794799805,0.0010023117065429688,True,0.062252643000039985,0.9443546719105704,-0.0792310248324946,hyperparam,lambda=0.05,2,30,,,0.05,,
0.016938333333333333,0.0007083333333333333,-2291.2941176470595,1.0,1.0,0.3283703327178955,0.0010042190551757812,True,0.08355416420628309,0.886818935393658,-0.06806329609131528,hyperparam,lambda=0.1,2,30,,,0.1,,
0.018484999999999998,0.0007083333333333333,-2509.6470588235297,1.0,1.0,0.3348076343536377,0.0005526542663574219,True,0.20135444119108742,0.6912698434694065,-0.018527246655406726,hyperparam,lambda=0.5,2,30,,,0.5,,
0.018888333333333333,0.0007083333333333333,-2566.588235294118,1.0,1.0,0.33738231658935547,0.0,True,0.3043616415289998,0.6001972184305523,-0.016447767889044597,hyperparam,lambda=1.0,2,30,,,1.0,,
0.019223333333333332,0.0007083333333333333,-2613.8823529411766,1.0,1.0,0.34435153007507324,0.0009987354278564453,False,0.784401884372563,0.11889720312534742,1.821519155620749e-19,hyperparam,lr=0.01,2,30,,,,0.01,
0.01926,0.0007083333333333333,-2619.058823529412,1.0,1.0,0.33600568771362305,0.0009989738464355469,False,0.21056307795381574,0.4895178668769897,0.0014722478993106837,hyperparam,lr=0.05,2,30,,,,0.05,
0.01913833333333333,0.0007083333333333333,-2601.8823529411766,1.0,1.0,0.33848142623901367,0.0,False,0.08795692630426105,0.681025845924448,-0.004561888167929557,hyperparam,lr=0.1,2,30,,,,0.1,
0.016205,0.0007083333333333333,-2187.764705882353,1.0,1.0,0.3301377296447754,0.0010156631469726562,True,0.04202386535562466,1.0051418719968663,-0.08946046615846116,hyperparam,lr=0.5,2,30,,,,0.5,
0.014661666666666667,0.0007083333333333333,-1969.8823529411766,1.0,1.0,0.34281444549560547,0.0,True,0.042061877835388506,1.7304372449298517,-0.189058463674775,hyperparam,lr=1.0,2,30,,,,1.0,
0.01572166666666667,0.0007083333333333333,-2119.5294117647063,1.0,1.0,0.33486485481262207,0.0,True,0.08144565300281911,3.2280428246529516,-0.2453742612448698,hyperparam,lr=2.0,2,30,,,,2.0,
0.017175,0.0007083333333333333,-2324.7058823529414,1.0,1.0,0.05897998809814453,0.0010006427764892578,False,0.04337372287707125,0.9809407256150728,-0.06513374142724138,hyperparam,epochs=50,2,30,,,,,50.0
0.016793333333333334,0.0007083333333333333,-2270.8235294117653,1.0,1.0,0.1115264892578125,0.0015244483947753906,True,0.04281225554030223,0.990680504442443,-0.07487333715705011,hyperparam,epochs=100,2,30,,,,,100.0
0.016406666666666667,0.0007083333333333333,-2216.2352941176478,1.0,1.0,0.22591853141784668,0.0,True,0.042302795424725585,0.9999239917988841,-0.08418277852973469,hyperparam,epochs=200,2,30,,,,,200.0
0.015923333333333334,0.0007083333333333333,-2148.0000000000005,1.0,1.0,0.5599088668823242,0.001008749008178711,True,0.041688972578063886,1.0115478708858645,-0.09595771078087406,hyperparam,epochs=500,2,30,,,,,500.0
0.015558333333333334,0.0007083333333333333,-2096.4705882352946,1.0,1.0,1.13214111328125,0.0,True,0.04125926404858031,1.019985223502107,-0.10453893188542246,hyperparam,epochs=1000,2,30,,,,,1000.0
